,Date,Low,High,Close,Open
1022,1966-01-21 00:00:00,1.6174423694610596,1.597677341792457,1.6223837249608353,1.597677341792457
1021,1966-01-20 00:00:00,1.5927363634109497,1.5713240176579286,1.60097175967579,1.5762653737159964
1020,1966-01-19 00:00:00,1.5762648582458496,1.5548527166603,1.5910887244070793,1.5910887244070793
1019,1966-01-18 00:00:00,1.5927363634109497,1.5845007699808369,1.614971972759073,1.614971972759073
1018,1966-01-17 00:00:00,1.622383713722229,1.6182660160835651,1.638854701442133,1.633913345976587
1017,1966-01-14 00:00:00,1.6339125633239746,1.6339125633239746,1.6470893077551192,1.642147954656507
1016,1966-01-13 00:00:00,1.6421483755111694,1.6380306787896077,1.643795493632835,1.6380306787896077
1015,1966-01-12 00:00:00,1.632265567779541,1.6289713321339332,1.6380303815767705,1.6380303815767705
1014,1966-01-11 00:00:00,1.639676809310913,1.6388533493286643,1.6437945035523298,1.6388533493286643
1013,1966-01-10 00:00:00,1.6347365379333496,1.6347365379333496,1.6429721290222257,1.639677892586675
1012,1966-01-07 00:00:00,1.639676809310913,1.6322648808103286,1.6470887378114976,1.640500269293162
1011,1966-01-06 00:00:00,1.6405012607574463,1.6322658672974157,1.6437954970075408,1.6322658672974157
1010,1966-01-05 00:00:00,1.6314432621002197,1.6240313252344083,1.64050212078927,1.6240313252344083
1009,1966-01-04 00:00:00,1.6207362413406372,1.6207362413406372,1.6372072254640477,1.625677595727222
1008,1966-01-03 00:00:00,1.6256768703460693,1.621559175443844,1.6388536123322608,1.6388536123322608
1007,1965-12-31 00:00:00,1.6437950134277344,1.6388538576714118,1.647089248708714,1.647089248708714
1006,1965-12-30 00:00:00,1.6470911502838135,1.6405026721154223,1.6470911502838135,1.6405026721154223
1005,1965-12-29 00:00:00,1.6405012607574463,1.6405012607574463,1.6524427685814358,1.6524427685814358
1004,1965-12-28 00:00:00,1.6545017957687378,1.6372072522974432,1.6545017957687378,1.6470897640673792
1003,1965-12-27 00:00:00,1.6470911502838135,1.6470911502838135,1.6619150289973188,1.6470911502838135
